Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
17,tt2584384,12/23/2019,12/23/2019,"It's a satire about the Hitler Youth Movement and a story about how love can defeat hate. Taika Waititi both directs the hell out of this film, and also plays a funny and frightening Hitler. Brilliant writing andy storytelling ",Jojo Rabbit,Jojo Rabbit,https://www.imdb.com/title/tt2584384/,Película,7.9,108,2019,Comedia,454928,1/17/2020,Taika Waititi
18,tt6823368,4/5/2019,4/5/2019,Good movie that tied loose knots together. Some of the movie build-ups seemed too easy or silly. Otherwise I liked it. McAvoy alone makes this a film worth seeing.,Glass (Cristal),Glass,https://www.imdb.com/title/tt6823368/,Película,6.6,129,2019,drama,285492,1/18/2019,M. Night Shyamalan
19,tt7984766,11/9/2019,11/9/2019,The acting was very well done across the board and at some moments during the film I felt truly gripped.Probably my favorite was the war scenes and how it captured the brutality and raw aspect of warfare back in the 1500's.,The King,The King,https://www.imdb.com/title/tt7984766/,Película,7.3,140,2019,Biograf�a,158835,11/1/2019,David Michôd
20,tt1489887,8/26/2019,8/26/2019,"t’s like Superbad, but for a new generation. Also for anyone who watched Superbad.Okay fine, it’s just amazing on its own and it will remind you of a certain movie from 2007.  Best Comedy movie of the year so far , had me laughing the whole time! ",Súper empollonas,Booksmart,https://www.imdb.com/title/tt1489887/,Película,7.1,102,2019,Comedia,134405,7/26/2019,Olivia Wilde
21,tt7914416,1/1/2019,1/1/2019,"A bit confused at first, since I didn't know what to expect.. but man.. half way through, I couldn't stop laughing.. Brilliantly executed and insanely funny , an example of low-budget movie done perfectly right. ",One cut of the dead,Kamera o tomeru na!,https://www.imdb.com/title/tt7914416/,Película,7.6,96,2017,Comedia,31654,6/23/2018,Shin'ichirô Ueda
22,tt8946378,12/27/2019,12/27/2019,Eccentric drama filled with humor that kept us entertained the whole time. Great storytelling with great character development. Daniel Craig with his southern accent was a standout! ,Puñales por la espalda (Knives Out),Knives Out,https://www.imdb.com/title/tt8946378/,Película,7.9,130,2019,Comedia,796036,11/29/2019,Rian Johnson
23,tt5460858,7/14/2019,7/14/2019,"I was fascinated by every moment of this film. Great period piece- and very insightful into the Soviet era of ballet. Acting and dancing were great, there where lots of suspense. Director Ralph Fiennes did an excellent job ","El bailarín (Nureyev, el cuervo blanco)",The White Crow,https://www.imdb.com/title/tt5460858/,Película,6.6,127,2018,Biograf�a,7130,5/1/2019,Ralph Fiennes
24,tt6966692,1/13/2019,1/13/2019,"Great movie and great script. It's interesting seeing the story of a privileged black man from the 40s,50s. But most of all I was astonished to get to know Don Shirley. Touching biopic with a timely universal message about brotherhood and tolerance. ",Green Book,Green Book,https://www.imdb.com/title/tt6966692/,Película,8.2,130,2018,Biograf�a,605066,2/1/2019,Peter Farrelly
25,tt8574252,5/4/2019,5/4/2019,"An amazing action movie that involves a super human like ability engineered by an evil , putted together in the most ultra violent way together. A visually striking piece , been waiting a movie like this for a very long time",Manyeo,Manyeo,https://www.imdb.com/title/tt8574252/,Película,7.1,125,2018,Acci�n,18821,6/27/2018,Park Hoon-jung
26,tt1560220,12/23/2019,12/23/2019,"Not sure it's quite as good as the original, but still a fun movie with plenty of laughs and some good action bits. I'd say the first has a better story, but this one has better action.  Still enjoying the little things",Zombieland: Mata y remata,Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/,Película,6.7,99,2019,Acci�n,210344,10/18/2019,Ruben Fleischer
27,tt4530422,2/10/2019,2/10/2019,"Overlord was absolutely insane, and I loved it. Starts off like a normal war movie, but then morphs into a crazy, gory, totally demented action horror nazi-zombie thrill ride. Great direction from Julius Avery  ",Overlord,Overlord,https://www.imdb.com/title/tt4530422/,Película,6.6,110,2018,Acci�n,109263,11/9/2018,Julius Avery
28,tt5580266,1/31/2019,1/31/2019,A strong tale relavent to the social and identity politics of being black in America. Hard hitting tale that allows the viewer to view both sides of the dynamics that exist within a modern America. Tour de force performance from Amandia Stenberg ,El odio que das,The Hate U Give,https://www.imdb.com/title/tt5580266/,Película,7.5,133,2018,CRIMEN,41401,4/12/2019,George Tillman Jr.
29,tt7798634,11/24/2019,11/24/2019,"One of the better horror / comedy movies of the year. Had nice amount of oh moments and the characters were either really smart, high, drunk or really stupid. A phenomenal gem that breaks the stigma free of  slasher genre is dead .",Noche de bodas,Ready or Not,https://www.imdb.com/title/tt7798634/,Película,6.9,95,2019,Acci�n,198589,10/11/2019,"Matt Bettinelli-Olpin, Tyler Gillett"
30,tt0437086,2/24/2019,2/24/2019,"The film is great and is a roller coaster of emotions and I loved it. CG was breathtaking, character development was compelling, anime style action sequences, and great world building, and great acting. Definitely rooting for a sequel!",Alita: Ángel de combate,Alita: Battle Angel,https://www.imdb.com/title/tt0437086/,Película,7.3,122,2019,Acci�n,303216,2/15/2019,Robert Rodriguez
31,tt5929754,1/12/2019,1/12/2019,"To see Carey Mulligan and Jake Gyllenhaal, masters of their craft, seated across the kitchen table from each other, locked in the disquiet of matrimonial turbulence, is a thing to behold, beautiful and wrenching in its turn. ",Lo que arde con el fuego,Wildlife,https://www.imdb.com/title/tt5929754/,Película,6.8,105,2018,drama,32030,4/23/2020,Paul Dano
